open,high,low,close,volume

1000,1000,1000,1000,1000
1000,1000,1000,1000,1000
1000,1000,1000,1000,1000
1000,1000,1000,1000,1000
1000,1000,1000,1000,1000
1005,1005,1005,1005,1005
1005,1005,1005,1005,1005
1012,1012,1012,1012,1012
1012,1012,1012,1012,1012
1013,1013,1013,1013,1013
1023,1023,1023,1023,1023
1012,1012,1012,1012,1012
1015,1015,1015,1015,1015
1015,1015,1015,1015,1015
1050,1050,1050,1050,1050
1051,1051,1051,1051,1051
1030,1030,1030,1030,1030
1033,1033,1033,1033,1033
1010,1010,1010,1010,1010
1010,1010,1010,1010,1010
1009,1009,1009,1009,1009
1009,1009,1009,1009,1009
